Order Date, Region ,Product Category,Units Sold,Revenue (USD),Discount %,Customer Rating,Notes
2024-01-01, North ,Apparel,16.0,"$5,794.43",0.233,3.6,
2024-01-02, South ,Electronics,8.0,"$7,034.46",0.002,4.9,
2024-01-03, East ,Electronics,20.0,"$18,657.59",0.091,4.3,
2024-01-04, West ,Grocery,7.0,$780.47,0.151,4.5,
2024-01-05, North ,Grocery,24.0,"$4,021.43",0.187,3.3,
2024-01-06, South ,Furniture,6.0,"$2,644.10",0.184,4.3,
2024-01-07, East ,Furniture,1.0,$633.75,0.14,3.8,
2024-01-08, West ,Apparel,16.0,"$3,821.46",0.149,3.8,
2024-01-09, North ,Electronics,5.0,"$6,057.07",0.06,3.6,
2024-01-10, South ,Furniture,1.0,$577.33,0.046,4.0,
2024-01-11, East ,Apparel,22.0,"$5,797.62",0.254,4.1,
2024-01-12, West ,Electronics,18.0,"$12,875.25",0.162,4.2,
2024-01-13, North ,Grocery,21.0,"$2,975.19",0.179,3.4,
2024-01-14, South ,Grocery,10.0,$947.80,0.045,4.5,
2024-01-15, East ,Furniture,10.0,"$7,506.44",0.177,3.7,
2024-01-16, West ,Furniture,16.0,"$9,763.69",0.045,3.4,
2024-01-17, North ,Furniture,6.0,"$4,324.50",0.029,4.8,
2024-01-18, South ,Apparel,6.0,"$1,362.60",0.09,2.9,
2024-01-19, East ,Electronics,16.0,"$12,892.01",0.254,4.5,
2024-01-20, West ,Grocery,22.0,"$2,577.94",0.044,5.0,
2024-01-21, North ,Apparel,23.0,"$7,337.94",0.054,4.0,
2024-01-22, South ,Apparel,16.0,"$3,494.78",0.113,3.8,
2024-01-23, East ,Electronics,6.0,"$4,622.31",0.263,4.5,
2024-01-24, West ,Apparel,14.0,"$3,088.48",0.225,,
2024-01-25, North ,Grocery,9.0,"$1,096.39",0.037,2.9,
2024-01-26, South ,Electronics,16.0,"$11,888.57",0.157,5.4,
2024-01-27, East ,Grocery,9.0,"$1,174.96",0.205,4.4,
2024-01-28, West ,Apparel,13.0,"$3,415.08",0.273,4.4,
2024-01-29, North ,Furniture,23.0,"$13,835.73",0.226,3.5,
2024-01-30, South ,Grocery,4.0,$394.77,0.245,4.2,
2024-01-31, East ,Apparel,16.0,"$4,692.28",0.154,2.9,
2024-02-01, West ,Electronics,6.0,"$4,511.37",0.109,4.6,
2024-02-02, North ,Furniture,9.0,"$7,959.93",0.172,4.6,
2024-02-03, South ,Electronics,7.0,"$6,323.27",0.133,5.0,
2024-02-04, East ,Electronics,13.0,"$12,389.01",0.269,3.5,
2024-02-05, West ,Grocery,14.0,"$1,549.17",0.263,3.6,
2024-02-06, North ,Grocery,23.0,"$2,854.83",0.129,4.0,
2024-02-07, South ,Grocery,23.0,"$2,112.34",0.242,3.9,
2024-02-08, East ,Furniture,18.0,"$11,927.97",0.291,3.9,
2024-02-09, West ,Grocery,10.0,"$1,004.53",0.015,5.1,
2024-02-10, North ,Furniture,22.0,"$18,745.11",0.034,3.6,
2024-02-11, South ,Apparel,12.0,"$2,646.58",0.198,3.7,
2024-02-12, East ,Electronics,24.0,"$22,370.10",0.188,4.1,
2024-02-13, West ,Electronics,5.0,"$3,525.79",0.123,4.0,
